hive_id,timestamp,temperature_c,humidity_pct,weight_kg
HIVE_001,2026-01-01T00:00:00,34.277,63.237,40.44
HIVE_001,2026-01-01T00:01:00,34.586,61.706,40.268
HIVE_001,2026-01-01T00:02:00,34.359,63.99,40.475
HIVE_001,2026-01-01T00:03:00,34.114,62.886,40.421
HIVE_001,2026-01-01T00:04:00,34.251,65.354,40.368
HIVE_001,2026-01-01T00:05:00,34.045,61.034,40.346
HIVE_001,2026-01-01T00:06:00,34.77,63.511,40.401
HIVE_001,2026-01-01T00:07:00,33.857,65.559,40.592
HIVE_001,2026-01-01T00:08:00,34.101,64.067,40.554
HIVE_001,2026-01-01T00:09:00,34.591,61.384,40.339
HIVE_001,2026-01-01T00:10:00,34.17,61.748,40.505
HIVE_001,2026-01-01T00:11:00,34.19,60.963,40.381
HIVE_001,2026-01-01T00:12:00,33.757,61.653,40.32
HIVE_001,2026-01-01T00:13:00,34.035,64.747,40.447
HIVE_001,2026-01-01T00:14:00,34.277,64.341,40.436
HIVE_001,2026-01-01T00:15:00,34.493,63.409,40.545
HIVE_001,2026-01-01T00:16:00,34.131,64.895,40.449
HIVE_001,2026-01-01T00:17:00,34.64,65.839,40.39
HIVE_001,2026-01-01T00:18:00,34.228,63.285,40.429
HIVE_001,2026-01-01T00:19:00,34.206,60.6,40.602
HIVE_001,2026-01-01T00:20:00,34.148,62.438,40.375
HIVE_001,2026-01-01T00:21:00,33.834,64.108,40.381
HIVE_001,2026-01-01T00:22:00,34.769,64.21,40.432
HIVE_001,2026-01-01T00:23:00,34.728,66.835,40.382
HIVE_001,2026-01-01T00:24:00,34.305,65.987,40.299
HIVE_001,2026-01-01T00:25:00,34.997,62.847,40.457
HIVE_001,2026-01-01T00:26:00,34.551,65.918,40.433
HIVE_001,2026-01-01T00:27:00,35.02,65.21,40.393
HIVE_001,2026-01-01T00:28:00,34.806,69.102,40.408
HIVE_001,2026-01-01T00:29:00,34.58,64.691,40.454
HIVE_001,2026-01-01T00:30:00,34.173,62.089,40.418
HIVE_001,2026-01-01T00:31:00,34.679,60.314,40.625
HIVE_001,2026-01-01T00:32:00,33.718,63.259,40.452
HIVE_001,2026-01-01T00:33:00,34.607,63.561,40.326
HIVE_001,2026-01-01T00:34:00,34.392,63.692,40.421
HIVE_001,2026-01-01T00:35:00,34.541,62.437,40.481
HIVE_001,2026-01-01T00:36:00,35.37,63.057,40.438
HIVE_001,2026-01-01T00:37:00,35.108,65.35,40.606
HIVE_001,2026-01-01T00:38:00,34.91,62.975,40.376
HIVE_001,2026-01-01T00:39:00,34.351,65.327,40.558
HIVE_001,2026-01-01T00:40:00,34.139,63.205,40.445
HIVE_001,2026-01-01T00:41:00,34.735,63.681,40.462
HIVE_001,2026-01-01T00:42:00,35.394,62.456,40.482
HIVE_001,2026-01-01T00:43:00,34.492,66.626,40.506
HIVE_001,2026-01-01T00:44:00,34.901,63.508,40.418
HIVE_001,2026-01-01T00:45:00,34.779,63.848,40.312
HIVE_001,2026-01-01T00:46:00,35.049,64.868,40.389
HIVE_001,2026-01-01T00:47:00,34.695,64.69,40.388
HIVE_001,2026-01-01T00:48:00,34.888,65.365,40.442
HIVE_001,2026-01-01T00:49:00,34.556,61.653,40.69
HIVE_001,2026-01-01T00:50:00,34.571,62.154,40.408
HIVE_001,2026-01-01T00:51:00,34.775,63.62,40.52
HIVE_001,2026-01-01T00:52:00,34.582,62.78,40.454
HIVE_001,2026-01-01T00:53:00,34.931,62.561,40.405
HIVE_001,2026-01-01T00:54:00,35.374,61.574,40.501
HIVE_001,2026-01-01T00:55:00,34.911,62.672,40.399
HIVE_001,2026-01-01T00:56:00,35.352,65.713,40.365
HIVE_001,2026-01-01T00:57:00,34.628,63.642,40.305
HIVE_001,2026-01-01T00:58:00,34.855,63.619,40.37
HIVE_001,2026-01-01T00:59:00,34.949,60.548,40.473
HIVE_001,2026-01-01T01:00:00,34.325,59.023,40.512
HIVE_001,2026-01-01T01:01:00,34.994,61.192,40.58
HIVE_001,2026-01-01T01:02:00,34.786,63.68,40.365
HIVE_001,2026-01-01T01:03:00,34.895,62.428,40.504
HIVE_001,2026-01-01T01:04:00,35.109,61.801,40.509
HIVE_001,2026-01-01T01:05:00,34.429,67.896,40.538
HIVE_001,2026-01-01T01:06:00,35.235,59.003,40.582
HIVE_001,2026-01-01T01:07:00,34.45,63.179,40.522
HIVE_001,2026-01-01T01:08:00,34.825,63.706,40.514
HIVE_001,2026-01-01T01:09:00,34.86,63.313,40.435
HIVE_001,2026-01-01T01:10:00,34.809,60.438,40.262
HIVE_001,2026-01-01T01:11:00,35.126,63.874,40.436
HIVE_001,2026-01-01T01:12:00,34.667,61.02,40.378
HIVE_001,2026-01-01T01:13:00,35.578,60.132,40.39
HIVE_001,2026-01-01T01:14:00,34.683,61.172,40.355
HIVE_001,2026-01-01T01:15:00,34.464,62.119,40.399
HIVE_001,2026-01-01T01:16:00,34.799,61.344,40.478
HIVE_001,2026-01-01T01:17:00,35.08,60.898,40.382
HIVE_001,2026-01-01T01:18:00,35.17,63.453,40.436
HIVE_001,2026-01-01T01:19:00,35.089,60.051,40.376
HIVE_001,2026-01-01T01:20:00,34.236,60.177,40.482
HIVE_001,2026-01-01T01:21:00,34.495,60.756,40.373
HIVE_001,2026-01-01T01:22:00,34.159,62.248,40.409
HIVE_001,2026-01-01T01:23:00,34.847,60.786,40.398
HIVE_001,2026-01-01T01:24:00,33.324,62.071,40.46
HIVE_001,2026-01-01T01:25:00,34.52,60.834,40.489
HIVE_001,2026-01-01T01:26:00,35.165,59.195,40.482
HIVE_001,2026-01-01T01:27:00,34.257,61.902,40.552
HIVE_001,2026-01-01T01:28:00,34.331,58.259,40.541
HIVE_001,2026-01-01T01:29:00,34.41,62.884,40.431
HIVE_001,2026-01-01T01:30:00,34.274,62.118,40.462
HIVE_001,2026-01-01T01:31:00,34.342,60.431,40.447
HIVE_001,2026-01-01T01:32:00,34.129,59.39,40.32
HIVE_001,2026-01-01T01:33:00,34.032,60.279,40.528
HIVE_001,2026-01-01T01:34:00,34.317,61.282,40.547
HIVE_001,2026-01-01T01:35:00,33.952,60.753,40.464
HIVE_001,2026-01-01T01:36:00,34.306,59.443,40.432
HIVE_001,2026-01-01T01:37:00,33.795,59.016,40.547
HIVE_001,2026-01-01T01:38:00,33.918,58.578,40.446
HIVE_001,2026-01-01T01:39:00,34.255,61.375,40.297
HIVE_001,2026-01-01T01:40:00,33.588,58.043,40.373
HIVE_001,2026-01-01T01:41:00,34.104,59.624,40.461
HIVE_001,2026-01-01T01:42:00,34.683,57.022,40.52
HIVE_001,2026-01-01T01:43:00,33.583,58.771,40.468
HIVE_001,2026-01-01T01:44:00,34.622,59.941,40.47
HIVE_001,2026-01-01T01:45:00,33.875,57.618,40.376
HIVE_001,2026-01-01T01:46:00,34.723,56.85,40.551
HIVE_001,2026-01-01T01:47:00,33.972,58.257,40.394
HIVE_001,2026-01-01T01:48:00,34.018,56.546,40.536
HIVE_001,2026-01-01T01:49:00,33.756,59.568,40.294
HIVE_001,2026-01-01T01:50:00,33.934,60.275,40.529
HIVE_001,2026-01-01T01:51:00,34.422,58.201,40.358
HIVE_001,2026-01-01T01:52:00,34.111,55.888,40.353
HIVE_001,2026-01-01T01:53:00,34.517,57.337,40.418
HIVE_001,2026-01-01T01:54:00,34.017,58.426,40.537
HIVE_001,2026-01-01T01:55:00,33.197,56.663,40.512
HIVE_001,2026-01-01T01:56:00,33.066,59.427,40.214
HIVE_001,2026-01-01T01:57:00,33.653,59.797,40.538
HIVE_001,2026-01-01T01:58:00,34.207,60.164,40.393
HIVE_001,2026-01-01T01:59:00,33.962,54.363,40.448
HIVE_001,2026-01-01T02:00:00,33.587,58.353,40.317
HIVE_001,2026-01-01T02:01:00,33.727,55.331,40.367
HIVE_001,2026-01-01T02:02:00,33.725,56.152,40.483
HIVE_001,2026-01-01T02:03:00,33.513,55.65,40.264
HIVE_001,2026-01-01T02:04:00,33.528,54.754,40.5
HIVE_001,2026-01-01T02:05:00,33.887,55.267,40.453
HIVE_001,2026-01-01T02:06:00,33.968,53.83,40.371
HIVE_001,2026-01-01T02:07:00,33.912,54.395,40.436
HIVE_001,2026-01-01T02:08:00,33.554,56.313,40.224
HIVE_001,2026-01-01T02:09:00,33.984,54.025,40.236
HIVE_001,2026-01-01T02:10:00,33.345,54.502,40.388
HIVE_001,2026-01-01T02:11:00,33.544,54.872,40.473
HIVE_001,2026-01-01T02:12:00,33.081,54.078,40.305
HIVE_001,2026-01-01T02:13:00,33.593,55.411,40.478
HIVE_001,2026-01-01T02:14:00,34.0,53.367,40.405
HIVE_001,2026-01-01T02:15:00,33.604,52.707,40.378
HIVE_001,2026-01-01T02:16:00,33.128,57.103,40.39
HIVE_001,2026-01-01T02:17:00,32.918,54.779,40.441
HIVE_001,2026-01-01T02:18:00,33.685,54.693,40.235
HIVE_001,2026-01-01T02:19:00,33.516,55.817,40.425
HIVE_001,2026-01-01T02:20:00,33.237,53.611,40.357
HIVE_001,2026-01-01T02:21:00,32.994,54.317,40.505
HIVE_001,2026-01-01T02:22:00,33.949,54.229,40.393
HIVE_001,2026-01-01T02:23:00,33.187,53.219,40.411
HIVE_001,2026-01-01T02:24:00,33.747,53.488,40.446
HIVE_001,2026-01-01T02:25:00,33.409,54.833,40.316
HIVE_001,2026-01-01T02:26:00,33.479,51.676,40.496
